Program runtime,Data timestamp,Local date,Local hr,City,Cloud,Humidity,Precip,Temp,Wbgt,Wind
2024-10-05T23:01:21,2024-10-06T00:00:00-04:00,2024-10-06,0,"Jacksonville, FL",84,84,0.12,78,76,6
2024-10-05T23:01:22,2024-10-06T00:00:00-04:00,2024-10-06,0,"Ocala, FL",66,84,0.0,77,75,4
2024-10-05T23:01:23,2024-10-06T00:00:00-04:00,2024-10-06,0,"Weston, FL",58,87,0.19,80,77,5
2024-10-05T23:01:24,2024-10-06T00:00:00-04:00,2024-10-06,0,"Orlando, FL",69,87,0.0,77,75,5
