Cloud,Humidity,Precip,Temp,Wind,Wbgt,class
64,72,0.0,62,6,59,0
76,75,0.0,59,2,57,0
67,75,0.0,59,3,57,0
73,78,0.0,59,4,56,0
60,72,0.0,60,3,58,0
55,70,0.0,62,3,59,0
71,78,0.0,62,7,60,0
19,81,0.0,59,5,58,0
67,72,0.0,62,5,59,0
68,73,0.0,69,11,66,0
75,79,0.0,71,12,67,0
87,75,0.0,64,5,62,0
89,78,0.0,64,5,62,0
91,75,0.0,66,6,63,0
93,90,0.0,62,3,61,0
100,90,0.03,60,2,59,0
74,87,0.0,62,7,61,0
91,84,0.0,64,5,62,0
96,100,0.0,62,2,61,0
88,97,0.02,62,6,62,0
99,100,0.07,57,4,56,0
85,93,0.02,62,6,61,0
81,90,0.0,64,6,62,0
54,75,0.0,59,9,57,0
98,97,0.0,60,2,60,0
91,75,0.0,66,5,63,0
90,75,0.0,66,5,63,0
83,73,0.0,71,8,67,0
84,76,0.0,68,6,66,0
74,81,0.0,68,8,66,0
77,81,0.0,68,5,66,0
92,81,0.0,66,3,64,0
74,81,0.0,68,8,66,0
92,93,0.0,64,3,64,0
90,87,0.0,66,5,64,0
94,97,0.0,62,1,62,0
93,100,0.0,62,2,61,0
66,67,0.0,62,10,58,0
60,84,0.0,59,6,58,0
51,83,0.0,57,4,55,0
3,41,0.0,62,4,56,0
9,41,0.0,62,2,55,0
36,69,0.0,57,4,55,0
13,71,0.0,53,1,51,0
1,38,0.0,62,17,54,0
1,39,0.0,60,16,54,0
2,41,0.0,60,6,54,0
63,81,0.0,71,7,69,0
91,84,0.0,68,2,66,0
92,97,0.0,64,2,63,0
92,97,0.01,62,2,62,0
69,87,0.0,69,4,68,0
71,84,0.0,69,3,68,0
86,90,0.0,68,3,66,0
60,87,0.0,68,4,66,0
65,81,0.0,73,7,70,0
69,82,0.0,73,7,71,0
62,84,0.0,71,6,69,0
68,87,0.0,71,2,70,0
72,93,0.0,69,4,69,0
77,82,0.0,73,4,71,0
80,84,0.0,73,5,72,0
67,84,0.0,73,3,71,0
61,81,0.0,71,7,70,0
59,81,0.0,73,8,70,0
68,87,0.0,71,6,69,0
62,90,0.0,71,2,70,0
26,84,0.0,75,5,73,0
46,84,0.0,73,2,71,0
62,87,0.0,73,4,71,0
66,87,0.0,73,7,72,0
8,82,0.0,75,3,74,0
8,77,0.0,78,6,76,0
6,79,0.0,75,3,72,0
5,76,0.0,77,5,74,0
7,87,0.0,71,4,69,0
13,79,0.0,75,4,73,0
5,69,0.0,77,5,74,0
0,72,0.0,80,6,77,1
49,81,0.0,71,5,70,0
25,65,0.0,84,8,79,1
46,70,0.0,84,7,81,1
17,70,0.0,87,2,85,3
52,80,0.01,84,4,83,2
46,77,0.02,84,3,82,2
44,77,0.01,84,2,83,2
25,66,0.0,89,4,84,2
36,82,0.01,86,3,84,2
52,80,0.06,84,5,82,2
44,80,0.04,86,3,85,3
47,80,0.0,84,2,83,2
47,77,0.01,84,2,82,2
48,82,0.0,84,2,83,2
17,75,0.0,86,3,84,2
27,75,0.0,86,4,84,2
46,75,0.01,86,3,83,2
35,77,0.0,86,3,84,2
26,72,0.01,87,2,85,3
36,82,0.01,86,3,85,3
27,80,0.01,84,2,83,2
45,74,0.01,84,3,81,1
24,66,0.0,89,4,85,3
24,68,0.0,89,4,85,3
1,67,0.0,84,5,81,1
2,74,0.0,82,6,80,1
3,63,0.0,84,4,81,1
41,77,0.01,84,3,83,2
26,75,0.06,86,3,83,2
22,72,0.01,86,4,84,2
30,77,0.01,86,2,85,3
23,75,0.01,86,4,83,2
23,68,0.0,89,4,85,3
55,80,0.0,84,4,83,2
53,70,0.0,86,8,82,2
14,65,0.0,87,2,84,2
9,32,0.0,77,4,66,0
3,50,0.0,84,3,78,1
2,46,0.0,86,7,78,1
7,53,0.0,84,7,79,1
10,55,0.0,86,6,81,1
3,41,0.0,80,2,72,0
1,59,0.0,86,8,80,1
76,77,0.5,82,12,79,1
2,61,0.0,86,8,81,1
4,61,0.0,86,10,81,1
3,52,0.0,87,8,81,1
0,40,0.0,75,14,66,0
1,63,0.0,84,6,79,1
4,70,0.0,82,8,80,1
4,52,0.0,77,6,71,0
4,52,0.0,77,6,71,0
2,74,0.0,80,8,79,1
3,65,0.0,84,5,80,1
4,67,0.0,82,7,79,1
2,65,0.0,82,5,79,1
12,59,0.0,82,5,78,1
7,60,0.0,80,4,76,0
4,12,0.0,100,9,82,2
3,13,0.0,95,10,78,1
8,22,0.0,75,10,64,0
5,18,0.0,102,8,84,2
2,14,0.0,93,10,75,0
10,18,0.0,84,10,71,0
2,21,0.0,86,12,73,0
3,20,0.0,84,13,72,0
1,9,0.0,96,2,77,1
3,12,0.0,100,6,81,1
1,13,0.0,98,6,80,1
2,16,0.0,80,3,68,0
4,14,0.0,96,7,79,1
3,13,0.0,98,7,79,1
2,13,0.0,98,12,79,1
2,10,0.0,102,11,82,2
5,15,0.0,93,12,75,0
3,10,0.0,100,8,80,1
4,13,0.0,100,13,80,1
3,12,0.0,100,6,81,1
4,13,0.0,100,9,81,1
4,13,0.0,100,8,81,1
6,14,0.0,100,8,82,2
4,14,0.0,98,7,81,1
6,13,0.0,98,8,80,1
7,14,0.0,98,10,79,1
10,16,0.0,89,12,72,0
6,18,0.0,91,11,75,0
7,15,0.0,87,12,71,0
2,11,0.0,93,12,74,0
1,21,0.0,93,7,78,1
3,27,0.0,77,6,67,0
4,26,0.0,78,9,67,0
1,28,0.0,73,5,64,0
1,32,0.0,68,6,59,0
1,37,0.0,75,7,66,0
2,23,0.0,73,2,62,0
1,25,0.0,77,9,65,0
5,30,0.0,73,7,63,0
6,28,0.0,78,4,68,0
3,30,0.0,75,5,66,0
2,29,0.0,71,4,62,0
2,26,0.0,71,7,61,0
1,13,0.0,78,6,64,0
1,16,0.0,75,4,62,0
1,16,0.0,75,4,62,0
1,19,0.0,73,8,61,0
1,21,0.0,77,4,65,0
1,18,0.0,77,3,64,0
3,22,0.0,73,2,61,0
1,15,0.0,77,3,62,0
3,17,0.0,84,2,69,0
2,19,0.0,77,1,64,0
1,16,0.0,75,2,62,0
1,15,0.0,75,3,62,0
2,23,0.0,71,3,60,0
2,16,0.0,75,2,61,0
5,9,0.0,78,19,62,0
2,12,0.0,73,19,57,0
2,19,0.0,71,12,59,0
2,19,0.0,68,8,56,0
1,27,0.0,64,2,55,0
2,23,0.0,66,4,55,0
2,21,0.0,68,9,57,0
2,26,0.0,60,10,52,0
3,9,0.0,95,3,76,0
3,7,0.0,91,2,72,0
2,18,0.0,80,6,67,0
