Cloud,Humidity,Precip,Temp,Wind,Wbgt,class
91,81,0.0,62,4,59,0
92,84,0.0,60,3,59,0
92,84,0.0,60,4,59,0
92,87,0.0,59,4,57,0
88,73,0.0,64,4,60,0
92,84,0.0,60,4,59,0
92,93,0.07,64,11,62,0
75,76,0.0,66,3,64,0
93,81,0.0,62,5,59,0
90,84,0.01,73,9,71,0
79,90,0.01,73,8,72,0
99,93,0.06,64,7,64,0
99,90,0.06,66,7,64,0
97,87,0.04,68,7,67,0
100,93,0.02,66,7,64,0
100,90,0.02,64,5,62,0
100,94,0.09,71,5,69,0
95,93,0.01,64,8,64,0
100,100,0.03,64,8,64,0
100,90,0.1,68,6,67,0
100,100,0.15,59,6,59,0
100,90,0.08,68,6,66,0
100,87,0.06,71,5,69,0
94,87,0.01,69,6,68,0
100,93,0.04,64,7,63,0
95,87,0.02,68,6,67,0
94,84,0.03,69,7,67,0
72,79,0.01,75,6,72,0
88,84,0.01,73,6,70,0
66,87,0.0,73,5,72,0
82,87,0.01,71,5,70,0
95,87,0.0,69,6,68,0
66,87,0.0,73,5,72,0
96,97,0.0,68,7,68,0
93,93,0.0,69,8,69,0
95,100,0.01,66,4,66,0
93,97,0.03,66,5,66,0
97,90,0.03,71,7,69,0
100,97,0.1,66,5,66,0
100,97,0.07,66,3,65,0
75,81,0.0,69,14,67,0
87,81,0.0,69,11,67,0
92,93,0.0,68,9,66,0
85,97,0.0,66,8,66,0
1,61,0.0,68,4,63,0
1,61,0.0,68,3,63,0
19,70,0.0,69,15,66,0
39,79,0.0,77,3,74,0
57,84,0.0,73,3,72,0
93,97,0.0,68,5,68,0
93,100,0.07,66,5,66,0
41,84,0.0,73,2,72,0
39,79,0.0,75,2,73,0
64,84,0.0,73,3,72,0
69,97,0.06,66,3,65,0
55,79,0.0,80,3,77,1
35,82,0.0,80,1,78,1
61,82,0.0,77,2,75,0
47,94,0.0,73,2,73,0
46,94,0.0,75,1,74,0
32,85,0.0,77,2,75,0
40,91,0.0,75,2,75,0
52,94,0.0,75,2,74,0
48,79,0.0,77,2,74,0
59,82,0.03,80,2,77,1
61,82,0.0,78,2,77,1
39,90,0.0,73,4,72,0
7,77,0.0,80,4,77,1
21,82,0.0,75,3,74,0
45,91,0.0,77,3,76,0
31,88,0.0,80,4,79,1
6,77,0.0,78,4,76,0
5,77,0.0,80,5,77,1
11,74,0.0,77,5,74,0
12,74,0.0,80,5,76,0
23,84,0.0,69,5,68,0
73,84,0.0,71,5,69,0
39,71,0.0,75,3,72,0
2,69,0.0,82,5,78,1
87,96,0.06,68,5,67,0
21,79,0.0,80,5,78,1
61,94,0.17,80,3,80,1
14,75,0.0,87,3,84,2
48,88,0.04,84,4,82,2
46,85,0.19,84,3,82,2
19,82,0.04,84,4,83,2
20,73,0.0,89,6,85,3
9,85,0.04,86,5,84,2
29,85,0.0,84,5,83,2
23,85,0.0,84,3,83,2
30,85,0.0,84,4,83,2
29,82,0.04,84,5,82,2
30,85,0.0,84,4,83,2
24,83,0.02,86,5,84,2
16,80,0.0,86,5,84,2
38,82,0.07,86,5,83,2
11,85,0.0,86,5,84,2
3,77,0.0,87,4,85,3
7,82,0.0,86,4,84,2
14,80,0.0,86,4,83,2
47,88,0.57,82,2,81,1
20,73,0.0,89,6,86,3
19,77,0.0,87,6,84,2
35,67,0.01,86,10,81,1
40,70,0.0,84,12,80,1
40,67,0.07,86,7,82,2
24,80,0.02,86,4,83,2
21,80,0.06,86,4,83,2
18,77,0.02,86,5,84,2
3,77,0.0,87,3,85,3
18,77,0.02,86,6,84,2
29,75,0.0,89,6,85,3
46,88,0.03,84,4,82,2
39,80,0.02,84,2,82,2
23,77,0.0,87,3,85,3
4,36,0.0,75,5,65,0
1,45,0.0,80,3,71,0
0,39,0.0,82,5,72,0
2,49,0.0,80,4,73,0
10,63,0.0,84,2,79,1
73,57,0.0,75,5,69,0
3,74,0.0,82,4,79,1
50,72,0.0,84,3,80,1
2,77,0.0,82,4,79,1
1,62,0.0,77,5,73,0
0,52,0.0,78,5,72,0
0,49,0.0,68,3,62,0
1,60,0.0,78,2,73,0
5,64,0.0,80,4,76,0
11,62,0.0,78,3,74,0
11,62,0.0,78,3,74,0
1,76,0.0,77,2,74,0
3,62,0.0,80,2,75,0
1,67,0.0,78,3,75,0
2,67,0.0,78,3,75,0
3,62,0.0,77,2,73,0
20,66,0.0,77,3,73,0
5,14,0.0,100,6,81,1
2,14,0.0,98,12,79,1
19,21,0.0,80,10,66,0
2,10,0.0,98,5,78,1
5,14,0.0,93,9,75,0
1,17,0.0,89,11,73,0
2,20,0.0,89,12,73,0
15,20,0.0,87,12,73,0
16,13,0.0,96,3,77,1
8,13,0.0,96,5,77,1
3,13,0.0,95,4,77,1
21,21,0.0,82,3,69,0
3,16,0.0,96,11,78,1
3,13,0.0,100,9,79,1
2,13,0.0,102,10,81,1
1,12,0.0,100,5,80,1
1,19,0.0,91,5,76,0
1,14,0.0,100,8,80,1
2,13,0.0,96,7,77,1
8,13,0.0,96,5,77,1
7,14,0.0,100,7,81,1
2,14,0.0,100,6,81,1
3,13,0.0,102,6,81,1
2,14,0.0,100,6,81,1
4,13,0.0,102,7,81,1
8,14,0.0,98,12,78,1
1,17,0.0,91,13,74,0
1,21,0.0,91,11,75,0
1,16,0.0,91,12,73,0
1,13,0.0,95,15,75,0
3,19,0.0,91,5,76,0
1,28,0.0,78,7,66,0
2,26,0.0,80,11,67,0
7,36,0.0,75,2,65,0
6,39,0.0,68,2,60,0
1,40,0.0,75,2,66,0
6,32,0.0,73,4,63,0
8,28,0.0,77,2,66,0
3,30,0.0,77,8,65,0
1,28,0.0,80,3,68,0
2,28,0.0,78,4,67,0
27,35,0.0,73,9,63,0
34,27,0.0,73,4,61,0
0,31,0.0,73,2,62,0
6,27,0.0,75,8,64,0
6,27,0.0,75,8,64,0
4,38,0.0,71,2,62,0
12,35,0.0,71,6,62,0
7,30,0.0,73,3,63,0
21,26,0.0,78,8,66,0
9,22,0.0,77,6,63,0
13,23,0.0,84,3,69,0
