Cloud,Humidity,Precip,Temp,Wind,Wbgt,class
72,73,0.0,68,8,66,0
76,68,0.0,68,6,66,0
59,70,0.0,68,5,67,0
60,68,0.0,68,6,66,0
69,63,0.0,71,4,68,0
69,65,0.0,71,5,68,0
100,87,0.05,68,12,66,0
28,71,0.0,73,3,73,0
60,73,0.0,69,5,68,0
82,87,0.03,77,7,77,1
52,100,0.01,75,7,76,0
98,96,0.06,69,8,70,0
97,100,0.08,71,7,71,0
91,100,0.04,73,6,73,0
98,87,0.04,73,8,72,0
99,81,0.03,73,7,70,0
92,69,0.0,77,6,73,0
88,93,0.07,73,6,74,0
87,81,0.05,75,7,74,0
70,66,0.0,77,9,74,0
100,93,0.11,66,8,66,0
73,58,0.0,77,7,73,0
81,58,0.0,78,5,73,0
90,81,0.05,73,7,71,0
99,87,0.06,73,7,71,0
83,90,0.08,75,5,76,0
86,90,0.04,77,5,76,0
29,59,0.0,84,6,81,1
61,76,0.0,80,4,79,1
30,65,0.0,82,6,80,1
34,67,0.03,82,5,81,1
37,62,0.04,82,6,80,1
30,65,0.0,82,6,80,1
52,84,0.05,78,6,79,1
17,79,0.03,77,7,78,1
24,79,0.01,78,5,79,1
30,74,0.01,78,7,78,1
92,79,0.04,75,6,73,0
97,87,0.03,68,6,67,0
100,100,0.33,66,7,66,0
93,84,0.18,68,19,67,0
72,71,0.0,73,14,71,0
99,100,0.4,66,8,66,0
95,90,0.08,66,10,66,0
1,42,0.0,80,5,74,0
2,42,0.0,80,5,74,0
45,61,0.0,73,15,70,0
12,58,0.0,82,5,79,1
17,62,0.0,80,5,78,1
13,69,0.0,80,6,78,1
13,69,0.0,77,7,76,0
12,62,0.0,82,5,79,1
11,58,0.0,82,5,79,1
12,62,0.0,82,5,79,1
46,76,0.0,71,7,71,0
11,55,0.0,86,7,81,1
2,59,0.0,84,8,81,1
17,59,0.0,84,6,81,1
21,64,0.0,80,8,79,1
18,60,0.0,82,7,80,1
13,58,0.0,82,9,79,1
1,60,0.0,82,8,80,1
16,64,0.0,80,8,78,1
12,57,0.0,84,5,81,1
15,65,0.02,84,6,82,2
15,59,0.0,84,6,81,1
18,64,0.0,78,9,77,1
71,65,0.0,84,11,79,1
13,60,0.0,82,9,79,1
2,65,0.0,82,8,80,1
11,69,0.0,82,10,80,1
68,61,0.0,84,8,81,1
74,67,0.0,86,7,83,2
11,56,0.0,84,10,79,1
39,59,0.0,84,9,81,1
81,78,0.0,73,12,71,0
93,73,0.0,71,12,69,0
63,54,0.0,80,11,76,0
25,55,0.0,86,11,81,1
97,93,0.03,64,10,63,0
79,70,0.09,86,9,83,2
75,77,0.42,87,7,86,3
46,66,0.02,91,9,89,4
58,68,0.12,89,8,87,4
58,75,0.32,89,7,87,4
60,80,0.2,86,8,86,3
22,77,0.0,89,9,87,4
38,82,0.3,87,11,88,4
66,70,0.09,89,9,86,3
55,70,0.03,89,8,87,4
