Cloud,Humidity,Precip,Temp,Wind,Wbgt,class
73,73,0.0,64,2,61,0
70,81,0.0,60,2,59,0
79,84,0.0,60,2,59,0
68,84,0.0,60,3,59,0
76,81,0.0,62,3,60,0
76,81,0.0,62,4,60,0
73,81,0.0,64,7,62,0
83,90,0.0,62,2,62,0
81,81,0.0,62,2,60,0
79,82,0.0,71,12,68,0
82,90,0.01,71,14,69,0
73,81,0.0,66,5,64,0
70,81,0.0,66,5,64,0
67,84,0.0,66,6,64,0
100,90,0.01,64,6,63,0
100,87,0.01,64,3,63,0
93,100,0.05,66,6,65,0
75,87,0.01,64,6,62,0
100,97,0.02,62,6,62,0
91,93,0.06,64,7,64,0
100,100,0.02,59,4,59,0
94,97,0.09,62,7,62,0
91,93,0.14,66,5,65,0
88,81,0.0,68,7,66,0
100,93,0.02,64,5,62,0
69,84,0.0,66,6,64,0
73,87,0.01,66,6,64,0
82,87,0.02,69,10,68,0
81,87,0.01,68,7,66,0
86,90,0.0,71,11,69,0
84,90,0.01,68,7,66,0
89,81,0.01,68,6,65,0
86,90,0.0,71,11,69,0
93,90,0.0,66,6,65,0
92,84,0.0,68,8,66,0
95,97,0.12,64,5,64,0
94,100,0.15,64,5,63,0
92,87,0.0,68,6,67,0
95,94,0.01,68,6,67,0
99,97,0.02,68,4,67,0
38,78,0.0,71,5,69,0
54,78,0.0,71,3,69,0
86,81,0.0,69,7,67,0
61,93,0.0,64,5,63,0
3,58,0.0,69,12,65,0
2,58,0.0,69,11,65,0
23,73,0.0,71,4,68,0
78,91,0.05,73,6,72,0
90,97,0.06,71,6,70,0
94,97,0.04,66,6,65,0
95,100,0.18,62,5,62,0
81,91,0.03,73,3,72,0
84,88,0.0,73,6,71,0
90,94,0.0,71,6,70,0
78,97,0.04,66,1,66,0
31,79,0.01,78,2,76,0
24,82,0.01,80,2,78,1
70,88,0.0,75,3,74,0
70,97,0.01,73,2,73,0
77,97,0.02,73,2,73,0
40,88,0.01,77,2,75,0
56,88,0.0,77,1,75,0
47,91,0.0,75,2,75,0
74,91,0.01,73,4,73,0
54,82,0.0,77,3,76,0
58,85,0.01,77,3,75,0
63,97,0.1,71,2,70,0
9,88,0.0,80,4,79,1
65,88,0.0,75,2,74,0
54,88,0.0,77,2,76,0
29,85,0.0,80,3,79,1
1,82,0.0,78,4,77,1
8,82,0.0,80,5,79,1
33,85,0.0,77,4,75,0
11,82,0.0,78,4,77,1
57,90,0.0,71,3,70,0
53,87,0.0,73,2,72,0
15,71,0.0,77,2,74,0
0,71,0.0,80,3,78,1
75,90,0.0,69,2,69,0
20,82,0.0,80,5,79,1
33,91,0.02,82,2,82,2
42,78,0.02,87,5,85,3
8,80,0.0,84,2,82,2
16,83,0.0,84,4,82,2
13,83,0.0,84,3,83,2
43,75,0.03,89,9,84,2
26,83,0.0,86,5,84,2
20,83,0.0,84,3,82,2
15,77,0.0,86,2,84,2
16,80,0.0,86,2,83,2
13,83,0.0,84,3,83,2
14,80,0.0,86,2,83,2
40,83,0.03,86,7,84,2
42,80,0.04,86,6,84,2
16,83,0.0,84,4,82,2
38,85,0.01,86,5,84,2
33,78,0.0,87,3,85,3
32,83,0.0,86,3,84,2
26,80,0.0,86,2,83,2
17,85,0.0,84,4,82,2
35,75,0.02,89,9,86,3
37,80,0.1,87,9,84,2
21,72,0.0,84,5,80,1
19,77,0.0,84,5,81,1
33,74,0.0,84,3,81,1
14,83,0.0,84,4,82,2
14,80,0.0,86,4,83,2
15,77,0.0,86,5,84,2
38,80,0.0,86,3,84,2
16,80,0.0,86,6,83,2
43,75,0.01,89,9,84,2
8,83,0.0,84,2,83,2
14,85,0.0,82,2,81,1
38,78,0.01,87,5,85,3
3,29,0.0,73,3,62,0
1,52,0.0,82,1,74,0
0,56,0.0,80,2,73,0
1,60,0.0,82,2,77,1
1,65,0.0,84,2,80,1
4,66,0.0,75,2,71,0
4,79,0.0,82,2,79,1
5,74,0.0,84,3,80,1
4,82,0.0,82,2,80,1
1,76,0.0,78,2,76,0
0,67,0.0,80,2,76,0
0,37,0.0,71,9,62,0
41,69,0.0,80,2,77,1
35,74,0.0,82,3,79,1
12,71,0.0,77,2,74,0
12,71,0.0,77,2,74,0
55,84,0.0,77,2,76,0
18,69,0.0,82,2,78,1
5,71,0.0,80,2,77,1
4,71,0.0,80,2,77,1
25,71,0.0,78,2,75,0
44,76,0.0,77,2,74,0
13,22,0.0,95,3,79,1
7,15,0.0,95,5,77,1
19,20,0.0,80,4,67,0
19,52,0.0,89,5,82,2
5,14,0.0,93,4,75,0
3,18,0.0,86,4,71,0
4,17,0.0,89,4,73,0
16,18,0.0,89,5,73,0
2,12,0.0,95,3,76,0
6,15,0.0,93,2,75,0
2,13,0.0,93,4,75,0
2,21,0.0,82,3,69,0
5,15,0.0,95,5,77,1
21,16,0.0,96,4,79,1
18,14,0.0,98,5,79,1
4,26,0.0,93,3,80,1
7,21,0.0,89,4,74,0
2,26,0.0,95,4,80,1
2,18,0.0,93,5,77,1
6,15,0.0,93,2,75,0
14,22,0.0,95,3,79,1
15,22,0.0,95,2,79,1
34,21,0.0,95,2,79,1
23,21,0.0,95,2,79,1
34,16,0.0,96,3,79,1
12,19,0.0,95,6,78,1
3,20,0.0,89,3,73,0
6,23,0.0,89,7,74,0
6,20,0.0,87,6,72,0
3,18,0.0,93,6,76,0
2,19,0.0,91,5,75,0
1,20,0.0,77,3,64,0
2,20,0.0,78,3,64,0
23,31,0.0,75,3,64,0
27,34,0.0,71,8,61,0
1,31,0.0,77,5,66,0
13,25,0.0,77,4,64,0
8,24,0.0,78,3,66,0
3,21,0.0,78,5,64,0
1,24,0.0,77,2,65,0
7,22,0.0,78,3,65,0
5,36,0.0,71,3,61,0
17,31,0.0,71,2,60,0
23,23,0.0,77,2,64,0
11,25,0.0,75,5,63,0
11,25,0.0,75,5,63,0
15,31,0.0,69,10,60,0
12,31,0.0,71,5,60,0
8,29,0.0,73,3,63,0
4,40,0.0,66,3,58,0
2,24,0.0,71,3,59,0
5,23,0.0,82,2,68,0
9,27,0.0,77,1,65,0
13,24,0.0,75,3,63,0
9,25,0.0,75,4,63,0
2,29,0.0,64,4,55,0
3,28,0.0,66,3,56,0
9,32,0.0,59,19,51,0
2,24,0.0,55,11,46,0
5,33,0.0,50,22,43,0
4,28,0.0,48,17,42,0
14,42,0.0,50,3,45,0
4,39,0.0,50,6,45,0
6,30,0.0,50,5,43,0
9,32,0.0,50,7,43,0
3,10,0.0,93,3,73,0
3,8,0.0,86,1,68,0
2,31,0.0,64,2,55,0
2,32,0.0,64,2,56,0
2,13,0.0,93,2,75,0
2,27,0.0,66,5,56,0
2,17,0.0,77,2,63,0
1,7,0.0,84,4,66,0
2,16,0.0,82,2,67,0
1,11,0.0,93,5,74,0
1,11,0.0,89,6,70,0
1,10,0.0,93,2,73,0
2,24,0.0,60,3,52,0
2,31,0.0,64,2,55,0
67,73,0.0,68,3,66,0
4,36,0.0,89,2,79,1
